provided_interaction_type_label,provided_interaction_type_id,mapped_to_interaction_type_label,mapped_to_interaction_type_id
Alelopatía negativa con,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
Alelopatía positiva con,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
Anida en,,coOccursWith,http://purl.obolibrary.org/obo/RO_0008506
Consume,,eats,http://purl.obolibrary.org/obo/RO_0002470
Consume a,,eats,http://purl.obolibrary.org/obo/RO_0002470
Crece sobre,,coOccursWith,http://purl.obolibrary.org/obo/RO_0008506
Dispersa,,vectorOf,http://purl.obolibrary.org/obo/RO_0002459 
Es parasitoide de,,parasitoidOf,http://purl.obolibrary.org/obo/RO_0002208
Es simbionte con,,symbiontOf,http://purl.obolibrary.org/obo/RO_0002440
Interactúa con,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
Nidifica con,,coOccursWith,http://purl.obolibrary.org/obo/RO_0008506
Otros,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
Parasita a,,parasiteOf,http://purl.obolibrary.org/obo/RO_0002444
Poliniza a,,pollinates,http://purl.obolibrary.org/obo/RO_0002455
Se agrede con,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
